id,entity_type,entity_id,description,status
42,candidate_match,3,Low-confidence match (44.45) for student 8 on drive 1,Open
43,candidate_match,4,Low-confidence match (43.29) for student 11 on drive 1,Resolved
44,candidate_match,5,Low-confidence match (46.42) for student 16 on drive 1,Open
45,candidate_match,6,Low-confidence match (38.5) for student 17 on drive 1,Open
46,candidate_match,7,Low-confidence match (45.58) for student 18 on drive 1,Open
47,candidate_match,8,Low-confidence match (35.11) for student 20 on drive 1,Open
48,candidate_match,9,Low-confidence match (38.48) for student 21 on drive 1,Resolved
49,candidate_match,10,Low-confidence match (44.34) for student 22 on drive 1,Open
50,candidate_match,11,Low-confidence match (37.66) for student 23 on drive 1,Resolved
51,candidate_match,12,Low-confidence match (44.48) for student 29 on drive 1,Open
52,candidate_match,13,Low-confidence match (39.1) for student 30 on drive 1,Open
53,candidate_match,15,Low-confidence match (48.75) for student 37 on drive 1,Resolved
54,candidate_match,16,Low-confidence match (49.28) for student 40 on drive 1,Open
55,candidate_match,17,Low-confidence match (42.27) for student 41 on drive 1,Resolved
56,candidate_match,18,Low-confidence match (44.8) for student 43 on drive 1,Resolved
57,candidate_match,19,Low-confidence match (49.04) for student 44 on drive 1,Resolved
58,candidate_match,20,Low-confidence match (39.98) for student 45 on drive 1,Open
59,candidate_match,21,Low-confidence match (45.84) for student 46 on drive 1,Resolved
60,candidate_match,22,Low-confidence match (42.87) for student 48 on drive 1,Open
61,candidate_match,23,Low-confidence match (49.08) for student 49 on drive 1,Open
62,candidate_match,24,Low-confidence match (35.11) for student 59 on drive 1,Resolved
63,candidate_match,25,Low-confidence match (33.86) for student 62 on drive 1,Resolved
64,candidate_match,26,Low-confidence match (39.13) for student 66 on drive 1,Open
65,candidate_match,27,Low-confidence match (36.32) for student 71 on drive 1,Open
66,candidate_match,28,Low-confidence match (43.7) for student 72 on drive 1,Resolved
67,candidate_match,30,Low-confidence match (32.99) for student 79 on drive 1,Open
68,candidate_match,31,Low-confidence match (49.56) for student 91 on drive 1,Open
69,candidate_match,32,Low-confidence match (51.8) for student 93 on drive 1,Resolved
70,candidate_match,33,Low-confidence match (32.24) for student 95 on drive 1,Resolved
71,interview,93,Possible venue/time conflict for interview 93 at venue 1,Resolved
72,interview,150,Possible venue/time conflict for interview 150 at venue 5,Resolved
73,interview,115,Possible venue/time conflict for interview 115 at venue 2,Resolved
74,interview,126,Possible venue/time conflict for interview 126 at venue 2,Resolved
75,interview,146,Possible venue/time conflict for interview 146 at venue 1,Open
76,interview,87,Possible venue/time conflict for interview 87 at venue 3,Resolved
77,interview,95,Possible venue/time conflict for interview 95 at venue 1,Open
78,interview,35,Possible venue/time conflict for interview 35 at venue 3,Resolved
79,interview,101,Possible venue/time conflict for interview 101 at venue 6,Resolved
80,interview,29,Possible venue/time conflict for interview 29 at venue 2,Resolved
