id,action,entity,entity_id,details,timestamp
34,approve_shortlist,candidate_match,203,TPO performed 'approve_shortlist' on candidate_match,2026-07-11T19:58:27.456248
35,edit_job_drive,exception,212,TPO performed 'edit_job_drive' on exception,2026-07-19T17:58:27.456257
36,edit_job_drive,candidate_match,219,TPO performed 'edit_job_drive' on candidate_match,2026-08-05T02:58:27.456266
37,reject_match,candidate_match,272,TPO performed 'reject_match' on candidate_match,2026-08-20T17:58:27.456274
38,reject_match,job_drive,145,TPO performed 'reject_match' on job_drive,2026-08-11T11:58:27.456283
39,override_eligibility,eligibility_result,253,TPO performed 'override_eligibility' on eligibility_result,2026-07-29T14:58:27.456292
40,override_eligibility,exception,387,TPO performed 'override_eligibility' on exception,2026-07-25T11:58:27.456301
41,reject_match,interview,7,TPO performed 'reject_match' on interview,2026-07-09T11:58:27.456310
42,edit_job_drive,exception,395,TPO performed 'edit_job_drive' on exception,2026-07-28T15:58:27.456318
43,reject_match,exception,348,TPO performed 'reject_match' on exception,2026-08-16T19:58:27.456332
44,edit_job_drive,job_drive,231,TPO performed 'edit_job_drive' on job_drive,2026-07-29T14:58:27.456344
45,confirm_schedule,job_drive,256,TPO performed 'confirm_schedule' on job_drive,2026-08-01T22:58:27.456353
46,edit_job_drive,exception,382,TPO performed 'edit_job_drive' on exception,2026-08-09T06:58:27.456361
47,resolve_exception,candidate_match,22,TPO performed 'resolve_exception' on candidate_match,2026-07-08T02:58:27.456369
48,confirm_schedule,interview,237,TPO performed 'confirm_schedule' on interview,2026-08-01T01:58:27.456377
49,confirm_schedule,interview,232,TPO performed 'confirm_schedule' on interview,2026-08-12T09:58:27.456387
50,reject_match,interview,215,TPO performed 'reject_match' on interview,2026-08-20T09:58:27.456395
51,edit_job_drive,interview,324,TPO performed 'edit_job_drive' on interview,2026-08-12T01:58:27.456404
52,edit_job_drive,eligibility_result,223,TPO performed 'edit_job_drive' on eligibility_result,2026-07-10T08:58:27.456412
53,approve_shortlist,exception,95,TPO performed 'approve_shortlist' on exception,2026-08-08T10:58:27.456421
54,override_eligibility,interview,242,TPO performed 'override_eligibility' on interview,2026-08-12T05:58:27.456430
55,edit_job_drive,candidate_match,12,TPO performed 'edit_job_drive' on candidate_match,2026-07-21T01:58:27.456438
56,approve_shortlist,job_drive,282,TPO performed 'approve_shortlist' on job_drive,2026-08-04T06:58:27.456446
57,approve_shortlist,interview,311,TPO performed 'approve_shortlist' on interview,2026-07-21T00:58:27.456455
58,confirm_schedule,candidate_match,250,TPO performed 'confirm_schedule' on candidate_match,2026-07-10T12:58:27.456463
59,edit_job_drive,eligibility_result,35,TPO performed 'edit_job_drive' on eligibility_result,2026-07-31T15:58:27.456478
60,confirm_schedule,exception,149,TPO performed 'confirm_schedule' on exception,2026-08-12T06:58:27.456494
61,resolve_exception,interview,111,TPO performed 'resolve_exception' on interview,2026-07-25T22:58:27.456504
62,override_eligibility,job_drive,324,TPO performed 'override_eligibility' on job_drive,2026-08-11T03:58:27.456513
63,reject_match,job_drive,351,TPO performed 'reject_match' on job_drive,2026-07-13T00:58:27.456521
64,resolve_exception,eligibility_result,307,TPO performed 'resolve_exception' on eligibility_result,2026-08-12T21:58:27.456529
65,edit_job_drive,job_drive,372,TPO performed 'edit_job_drive' on job_drive,2026-07-28T15:58:27.456537
66,approve_shortlist,job_drive,290,TPO performed 'approve_shortlist' on job_drive,2026-07-22T11:58:27.456547
67,override_eligibility,interview,190,TPO performed 'override_eligibility' on interview,2026-07-26T06:58:27.456555
68,approve_shortlist,job_drive,353,TPO performed 'approve_shortlist' on job_drive,2026-08-07T03:58:27.456563
69,reject_match,interview,144,TPO performed 'reject_match' on interview,2026-07-17T03:58:27.456572
70,resolve_exception,job_drive,358,TPO performed 'resolve_exception' on job_drive,2026-08-09T09:58:27.456580
71,edit_job_drive,exception,118,TPO performed 'edit_job_drive' on exception,2026-07-06T19:58:27.456589
72,resolve_exception,candidate_match,128,TPO performed 'resolve_exception' on candidate_match,2026-07-20T19:58:27.456597
73,confirm_schedule,eligibility_result,161,TPO performed 'confirm_schedule' on eligibility_result,2026-07-20T10:58:27.456605
74,confirm_schedule,candidate_match,320,TPO performed 'confirm_schedule' on candidate_match,2026-08-01T11:58:27.456613
75,resolve_exception,interview,237,TPO performed 'resolve_exception' on interview,2026-07-13T14:58:27.456621
76,edit_job_drive,eligibility_result,231,TPO performed 'edit_job_drive' on eligibility_result,2026-07-28T07:58:27.456630
77,edit_job_drive,candidate_match,187,TPO performed 'edit_job_drive' on candidate_match,2026-08-17T22:58:27.456639
78,approve_shortlist,candidate_match,325,TPO performed 'approve_shortlist' on candidate_match,2026-08-21T03:58:27.456650
79,edit_job_drive,exception,248,TPO performed 'edit_job_drive' on exception,2026-07-17T09:58:27.456666
80,edit_job_drive,job_drive,249,TPO performed 'edit_job_drive' on job_drive,2026-07-31T18:58:27.456677
81,resolve_exception,candidate_match,331,TPO performed 'resolve_exception' on candidate_match,2026-08-08T18:58:27.456686
82,resolve_exception,eligibility_result,152,TPO performed 'resolve_exception' on eligibility_result,2026-08-17T14:58:27.456695
83,approve_shortlist,exception,259,TPO performed 'approve_shortlist' on exception,2026-08-03T06:58:27.456703
84,confirm_schedule,interview,359,TPO performed 'confirm_schedule' on interview,2026-08-21T04:58:27.456711
85,edit_job_drive,candidate_match,74,TPO performed 'edit_job_drive' on candidate_match,2026-08-03T13:58:27.456726
86,override_eligibility,interview,41,TPO performed 'override_eligibility' on interview,2026-07-28T23:58:27.456737
87,approve_shortlist,interview,321,TPO performed 'approve_shortlist' on interview,2026-07-27T20:58:27.456745
88,approve_shortlist,exception,228,TPO performed 'approve_shortlist' on exception,2026-08-01T10:58:27.456753
89,edit_job_drive,interview,142,TPO performed 'edit_job_drive' on interview,2026-08-08T15:58:27.456761
90,resolve_exception,interview,146,TPO performed 'resolve_exception' on interview,2026-08-10T19:58:27.456769
91,approve_shortlist,job_drive,9,TPO performed 'approve_shortlist' on job_drive,2026-08-14T12:58:27.456777
92,edit_job_drive,exception,245,TPO performed 'edit_job_drive' on exception,2026-07-29T09:58:27.456785
93,edit_job_drive,interview,282,TPO performed 'edit_job_drive' on interview,2026-08-19T17:58:27.456793
94,confirm_schedule,job_drive,203,TPO performed 'confirm_schedule' on job_drive,2026-08-10T03:58:27.456803
95,resolve_exception,eligibility_result,330,TPO performed 'resolve_exception' on eligibility_result,2026-08-03T03:58:27.456811
96,resolve_exception,exception,21,TPO performed 'resolve_exception' on exception,2026-07-20T12:58:27.456819
97,reject_match,candidate_match,255,TPO performed 'reject_match' on candidate_match,2026-08-17T11:58:27.456828
98,approve_shortlist,candidate_match,53,TPO performed 'approve_shortlist' on candidate_match,2026-07-19T08:58:27.456850
99,reject_match,candidate_match,48,TPO performed 'reject_match' on candidate_match,2026-07-29T02:58:27.456860
100,edit_job_drive,eligibility_result,212,TPO performed 'edit_job_drive' on eligibility_result,2026-07-31T11:58:27.456869
101,confirm_schedule,interview,280,TPO performed 'confirm_schedule' on interview,2026-08-17T21:58:27.456877
102,confirm_schedule,interview,356,TPO performed 'confirm_schedule' on interview,2026-08-11T20:58:27.456886
103,override_eligibility,candidate_match,230,TPO performed 'override_eligibility' on candidate_match,2026-08-11T10:58:27.456894
104,edit_job_drive,candidate_match,123,TPO performed 'edit_job_drive' on candidate_match,2026-08-17T17:58:27.456903
105,reject_match,exception,13,TPO performed 'reject_match' on exception,2026-08-17T17:58:27.456911
106,reject_match,candidate_match,246,TPO performed 'reject_match' on candidate_match,2026-08-19T12:58:27.456919
107,approve_shortlist,candidate_match,79,TPO performed 'approve_shortlist' on candidate_match,2026-08-12T21:58:27.456928
108,edit_job_drive,job_drive,199,TPO performed 'edit_job_drive' on job_drive,2026-07-11T16:58:27.456936
109,confirm_schedule,eligibility_result,262,TPO performed 'confirm_schedule' on eligibility_result,2026-08-02T22:58:27.456945
110,override_eligibility,interview,282,TPO performed 'override_eligibility' on interview,2026-08-17T12:58:27.456955
111,approve_shortlist,exception,19,TPO performed 'approve_shortlist' on exception,2026-08-08T06:58:27.456970
112,resolve_exception,interview,4,TPO performed 'resolve_exception' on interview,2026-07-29T15:58:27.457020
113,override_eligibility,exception,189,TPO performed 'override_eligibility' on exception,2026-07-20T08:58:27.457029
114,confirm_schedule,candidate_match,78,TPO performed 'confirm_schedule' on candidate_match,2026-07-18T13:58:27.457037
115,reject_match,exception,145,TPO performed 'reject_match' on exception,2026-08-03T20:58:27.457046
116,edit_job_drive,exception,199,TPO performed 'edit_job_drive' on exception,2026-08-11T07:58:27.457053
117,resolve_exception,job_drive,172,TPO performed 'resolve_exception' on job_drive,2026-08-09T03:58:27.457061
118,edit_job_drive,interview,62,TPO performed 'edit_job_drive' on interview,2026-07-11T04:58:27.457077
119,confirm_schedule,eligibility_result,229,TPO performed 'confirm_schedule' on eligibility_result,2026-07-13T17:58:27.457087
120,reject_match,exception,395,TPO performed 'reject_match' on exception,2026-07-27T07:58:27.457095
121,approve_shortlist,eligibility_result,22,TPO performed 'approve_shortlist' on eligibility_result,2026-07-28T10:58:27.457103
122,reject_match,candidate_match,103,TPO performed 'reject_match' on candidate_match,2026-07-15T14:58:27.457111
123,reject_match,job_drive,354,TPO performed 'reject_match' on job_drive,2026-07-09T07:58:27.457120
124,resolve_exception,job_drive,185,TPO performed 'resolve_exception' on job_drive,2026-07-23T12:58:27.457128
125,reject_match,candidate_match,291,TPO performed 'reject_match' on candidate_match,2026-08-05T07:58:27.457137
126,resolve_exception,eligibility_result,159,TPO performed 'resolve_exception' on eligibility_result,2026-08-21T07:58:27.457146
127,approve_shortlist,job_drive,106,TPO performed 'approve_shortlist' on job_drive,2026-07-20T14:58:27.457182
128,confirm_schedule,job_drive,235,TPO performed 'confirm_schedule' on job_drive,2026-07-26T18:58:27.457244
129,approve_shortlist,interview,246,TPO performed 'approve_shortlist' on interview,2026-07-16T18:58:27.457274
130,edit_job_drive,candidate_match,40,TPO performed 'edit_job_drive' on candidate_match,2026-07-13T10:58:27.457284
131,override_eligibility,eligibility_result,318,TPO performed 'override_eligibility' on eligibility_result,2026-08-18T13:58:27.457290
132,edit_job_drive,eligibility_result,156,TPO performed 'edit_job_drive' on eligibility_result,2026-07-24T01:58:27.457296
133,reject_match,exception,82,TPO performed 'reject_match' on exception,2026-08-15T12:58:27.457301
134,edit_job_drive,candidate_match,331,TPO performed 'edit_job_drive' on candidate_match,2026-08-09T00:58:27.457307
135,reject_match,job_drive,39,TPO performed 'reject_match' on job_drive,2026-08-04T00:58:27.457313
136,reject_match,eligibility_result,153,TPO performed 'reject_match' on eligibility_result,2026-08-19T10:58:27.457317
137,edit_job_drive,candidate_match,135,TPO performed 'edit_job_drive' on candidate_match,2026-07-23T07:58:27.457324
138,override_eligibility,eligibility_result,244,TPO performed 'override_eligibility' on eligibility_result,2026-08-10T13:58:27.457328
139,override_eligibility,eligibility_result,372,TPO performed 'override_eligibility' on eligibility_result,2026-08-05T23:58:27.457332
140,resolve_exception,exception,140,TPO performed 'resolve_exception' on exception,2026-08-04T13:58:27.457337
141,reject_match,exception,246,TPO performed 'reject_match' on exception,2026-08-16T14:58:27.457340
142,reject_match,candidate_match,111,TPO performed 'reject_match' on candidate_match,2026-08-17T01:58:27.457344
143,reject_match,interview,16,TPO performed 'reject_match' on interview,2026-08-18T22:58:27.457347
144,confirm_schedule,interview,212,TPO performed 'confirm_schedule' on interview,2026-08-10T13:58:27.457351
145,resolve_exception,eligibility_result,337,TPO performed 'resolve_exception' on eligibility_result,2026-08-17T05:58:27.457355
146,reject_match,job_drive,369,TPO performed 'reject_match' on job_drive,2026-07-22T07:58:27.457358
147,edit_job_drive,eligibility_result,344,TPO performed 'edit_job_drive' on eligibility_result,2026-08-04T07:58:27.457362
148,approve_shortlist,interview,1,TPO performed 'approve_shortlist' on interview,2026-07-11T12:58:27.457366
149,resolve_exception,interview,287,TPO performed 'resolve_exception' on interview,2026-07-07T22:58:27.457369
150,approve_shortlist,eligibility_result,147,TPO performed 'approve_shortlist' on eligibility_result,2026-07-29T11:58:27.457375
